Experiment: Adult Census with added biased attribute
Number of similar individuals: 15

Arguments representing intentionally biased attribute:
bias-attr=0 count: 3853 percentage: 85.34
consistent count: 662 percentage: 14.66

All weakest arguments and their counts:
Arguments, Weakest count
bias-attr=0,3853
education= 10th,80
hours-per-week=40-60,270
education= 12th,34
marital-status= Married-civ-spouse,181
occupation= Machine-op-inspct,154
relationship= Husband,223
native-country= United-States,36
consistent,662
occupation= Other-service,222
workclass= Self-emp-not-inc,122
education= Assoc-voc,88
education= Masters,122
education= HS-grad,238
relationship= Own-child,207
race= Black,149
education= Assoc-acdm,72
marital-status= Divorced,261
occupation= Exec-managerial,181
relationship= Unmarried,172
age=<25,216
workclass= Private,123
occupation= Craft-repair,180
sex= Male,133
capital-loss=>40,133
occupation= Adm-clerical,230
marital-status= Separated,75
workclass= State-gov,70
marital-status= Never-married,199
relationship= Not-in-family,246
workclass= Federal-gov,92
native-country= Mexico,51
capital-gain=>5000,134
sex= Female,227
hours-per-week=<40,132
occupation= Transport-moving,106
race= Other,27
occupation= Sales,159
occupation= Handlers-cleaners,114
education= Bachelors,199
age=>60,151
workclass= Local-gov,125
education= 7th-8th,37
occupation= Protective-serv,36
occupation= Prof-specialty,160
workclass= Self-emp-inc,81
native-country= Japan,8
occupation= Farming-fishing,74
education= Some-college,234
race= Asian-Pac-Islander,58
age=25-60,109
capital-loss=≤40,22
relationship= Wife,99
education= Doctorate,19
education= Prof-school,33
relationship= Other-relative,70
native-country= India,4
hours-per-week=>60,98
occupation= Tech-support,86
education= 11th,72
native-country= Columbia,9
education= 5th-6th,35
native-country= Outlying-US(Guam-USVI-etc),5
education= Preschool,8
education= 1st-4th,10
native-country= El-Salvador,14
native-country= Ecuador,5
race= White,50
native-country= England,5
native-country= Hong,1
native-country= Cuba,7
education= 9th,24
native-country= South,8
marital-status= Married-spouse-absent,45
native-country= Canada,17
native-country= Italy,7
native-country= Vietnam,6
marital-status= Widowed,73
native-country= Philippines,20
native-country= Thailand,1
capital-gain=≤5000,23
native-country= Greece,4
native-country= Haiti,9
race= Amer-Indian-Eskimo,32
native-country= Dominican-Republic,7
native-country= Puerto-Rico,15
native-country= Portugal,9
native-country= Germany,9
native-country= Cambodia,3
native-country= Poland,5
native-country= Ireland,4
native-country= Iran,6
native-country= Nicaragua,4
native-country= Scotland,2
native-country= Guatemala,3
workclass= Without-pay,1
occupation= Priv-house-serv,18
native-country= France,6
native-country= Taiwan,2
native-country= Honduras,2
native-country= Hungary,1
native-country= China,8
native-country= Peru,4
native-country= Laos,3
native-country= Jamaica,4
marital-status= Married-AF-spouse,1
native-country= Trinadad&Tobago,1
