Experiment: Adult Census with added biased attribute
Number of similar individuals: 5

Arguments representing intentionally biased attribute:
consistent count: 1977 percentage: 43.58
bias-attr=0 count: 2559 percentage: 56.42

All weakest arguments and their counts:
Arguments, Weakest count
consistent,1977
age=25-60,261
bias-attr=0,2559
workclass= Private,234
education= HS-grad,351
occupation= Adm-clerical,228
race= White,140
hours-per-week=40-60,327
native-country= United-States,98
education= 10th,58
occupation= Other-service,203
relationship= Wife,98
workclass= Federal-gov,68
occupation= Transport-moving,94
relationship= Own-child,238
native-country= Cambodia,2
education= Some-college,301
occupation= Sales,199
workclass= Local-gov,161
education= Masters,131
marital-status= Married-civ-spouse,379
occupation= Prof-specialty,234
relationship= Husband,370
capital-gain=>5000,117
sex= Male,265
age=<25,299
occupation= Craft-repair,192
capital-loss=>40,123
hours-per-week=<40,293
education= 12th,30
marital-status= Never-married,415
sex= Female,391
education= Doctorate,26
workclass= State-gov,109
marital-status= Separated,60
marital-status= Widowed,72
relationship= Not-in-family,391
relationship= Unmarried,194
native-country= Mexico,32
occupation= Tech-support,79
race= Black,199
race= Asian-Pac-Islander,62
native-country= China,7
occupation= Machine-op-inspct,96
workclass= Self-emp-inc,86
education= Bachelors,289
occupation= Exec-managerial,235
marital-status= Divorced,256
education= 9th,27
age=>60,151
education= 7th-8th,44
occupation= Protective-serv,56
marital-status= Married-spouse-absent,25
workclass= Self-emp-not-inc,164
capital-loss=≤40,64
capital-gain=≤5000,53
native-country= Canada,14
education= Assoc-voc,80
occupation= Farming-fishing,75
education= 11th,79
race= Other,19
native-country= El-Salvador,11
native-country= England,4
occupation= Handlers-cleaners,107
hours-per-week=>60,82
native-country= Portugal,5
education= 5th-6th,24
relationship= Other-relative,57
education= Prof-school,32
native-country= Ecuador,5
native-country= Iran,2
education= Assoc-acdm,60
native-country= Cuba,7
native-country= Hungary,1
native-country= South,5
native-country= Italy,7
education= 1st-4th,10
native-country= Thailand,2
native-country= Germany,9
native-country= Poland,7
native-country= Greece,3
race= Amer-Indian-Eskimo,20
native-country= Japan,5
education= Preschool,6
native-country= Philippines,16
occupation= Priv-house-serv,11
native-country= Puerto-Rico,13
native-country= Ireland,3
native-country= Columbia,3
native-country= India,7
native-country= Outlying-US(Guam-USVI-etc),2
native-country= Jamaica,4
native-country= Haiti,9
native-country= France,2
native-country= Vietnam,1
native-country= Guatemala,3
occupation= Armed-Forces,2
native-country= Dominican-Republic,3
marital-status= Married-AF-spouse,3
native-country= Taiwan,1
native-country= Peru,3
native-country= Honduras,2
native-country= Trinadad&Tobago,1
native-country= Hong,2
native-country= Scotland,2
workclass= Without-pay,1
native-country= Yugoslavia,2
native-country= Nicaragua,1
